Chemical_Name,SMILES,Type,Within Domain of Applicability
24,NC1=NC(Cl)=CC(Cl)=N1,0,TRUE
25,NC1=CC(=O)N=C(N)N1,0,TRUE
26,NCCCC(O)=O,0,TRUE
27,C=CCN=C=S,0,TRUE
28,CC(=O)NCCCCCC(O)=O,0,TRUE
29,CCCCCCCCCCCCCCCC(O)=O,0,FALSE
30,CCCCCCCCCCCCCCCCCC(O)=O,0,FALSE
31,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,TRUE
32,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,0,TRUE
33,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0,TRUE
34,CCOC1=CC(NC(C)=O)=CC=C1C(=O)OC,0,TRUE
36,OS(O)(=O)=O.OS(O)(=O)=O.NC(=N)NCCN1CCCCCCC1,0,TRUE
37,NC1=CC=C(C=C1)\N=N\C1=CC=CC=C1,1,FALSE
38,CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1,1,TRUE
39,OCCC1=CC=CC=C1,0,TRUE
40,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,0,TRUE
42,NC(=O)NC1=CC=CC=C1,0,TRUE
43,Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0,TRUE
44,OC(=O)CS,0,TRUE
45,CN(C)C=O,0,TRUE
46,COC1=CC=CC=C1OCC1CNC(=O)O1,0,TRUE
47,BrCC(=O)C1=CC=CC=C1,0,TRUE
48,CCCCCC1=CC(O)=C2[C@@H]3C=C(C)CC[C@H]3C(C)(C)OC2=C1,1,TRUE
49,OC(=O)C1=CC=C(Cl)C=C1,0,TRUE
50,CC#N,0,TRUE
51,ClCCl,0,TRUE
52,NC=O,0,TRUE
53,ClC(Cl)C(Cl)(Cl)Cl,0,TRUE
54,ClC(=O)C(Cl)(Cl)Cl,0,TRUE
55,OC(=O)C(Cl)(Cl)Cl,0,TRUE
56,[O-][N+](=O)C(Cl)(Cl)Cl,0,TRUE
57,CCC1(CC)C(=O)NC=CC1=O,0,TRUE
58,C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O,0,TRUE
59,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,1,TRUE
60,CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2,0,TRUE
61,CCO[Si](CC)(OCC)OCC,0,TRUE
62,CCO[Si](OCC)(OCC)OCC,0,TRUE
63,[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,0,TRUE
64,ClC=C(Cl)Cl,0,TRUE
65,ClCC(Cl)=O,0,TRUE
66,NC(=O)C=C,0,TRUE
68,OC(=O)CBr,0,TRUE
70,OC(=O)C=C,0,TRUE
71,OC(=O)CCl,0,TRUE
72,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,0,TRUE
73,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,TRUE
74,CC(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,0,TRUE
75,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,0,TRUE
76,OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,TRUE
77,Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,0,TRUE
78,O=C1NS(=O)(=O)C2=C1C=CC=C2,0,TRUE
79,NC1=CC(=C(C=CC2=C(C=C(N)C=C2)S(O)(=O)=O)C=C1)S(O)(=O)=O,0,TRUE
80,OC(=O)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,0,TRUE
81,CN1N(C(=O)C(N)=C1C)C1=CC=CC=C1,0,TRUE
82,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,0,TRUE
83,OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,1,TRUE
84,C(CN1C2=CC=CC=C2SC2=CC=CC=C12)N1CCCC1,1,TRUE
85,O=C1C(=O)C2=C(C=CC=N2)C2=CC=CN=C12,1,TRUE
86,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,0,TRUE
87,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,1,FALSE
88,CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1,0,TRUE
89,CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2,1,TRUE
90,NC1=CC2=C(C=C1)C(O)=CC(=C2)S(O)(=O)=O,0,TRUE
91,OC1=C(Br)C=C(Br)C=C1C(=O)NC1=CC=C(Br)C=C1,1,TRUE
92,OC1=C(Cl)C=C(Cl)C=C1Cl,0,TRUE
93,CCC(CC)C(O)=O,0,TRUE
95,O.O.OS(=O)(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,0,TRUE
96,CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC,0,TRUE
97,OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O,0,TRUE
98,OC(=O)C1=CC=C(C=C1C(O)=O)S(O)(=O)=O,0,TRUE
99,OCC1=CC=CC=C1O,0,TRUE
100,OC1=CC=CC=C1C=O,0,TRUE
101,OC1=C([Hg]Cl)C=CC=C1,0,TRUE
102,COC1=C(O)C=CC=C1,0,TRUE
103,CC1=C(C=CC=C1N=C=O)N=C=O,0,TRUE
105,OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,0,TRUE
106,C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1,1,TRUE
108,COC1=CC2=C(C=CC=C2)C=C1,0,TRUE
109,CC(=O)C1=CC2=CC=CC=C2C=C1,0,TRUE
110,CNCC(O)C1=CC=C(O)C=C1,1,TRUE
111,CCOC(=O)C1=CC=C(C)C=C1,0,TRUE
112,CCOC(=O)C1=CC=C(N)C=C1,0,TRUE
113,CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1,0,TRUE
114,CCCOC(=O)C1=CC=C(N)C=C1,0,TRUE
115,CCN(CC)C(=S)SCC(Cl)=C,0,TRUE
116,CC(=C)C(=O)OCC=C,0,TRUE
117,CC1OC1C1CCC2(C)OC2C1,0,TRUE
118,C1OC1C1=CC=CC=C1,1,TRUE
119,ClCC(Br)CBr,0,TRUE
120,NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,0,TRUE
121,O=CC1=CC=CO1,0,TRUE
123,CC(C)(C)C1=CC=CC=C1,0,TRUE
124,ClC(Cl)(Cl)C1=CC=CC=C1,0,TRUE
125,FC(F)(F)C1=CC=CC=C1,0,TRUE
126,ClS(=O)(=O)C1=CC=CC=C1,0,TRUE
127,OS(=O)(=O)C1=CC=CC=C1,0,TRUE
128,CC1=CC=CC(=C1)C(O)=O,0,TRUE
129,OC(=O)C1=CC(O)=CC=C1,0,TRUE
130,CC1=CC(=CC=C1)[N+]([O-])=O,0,TRUE
131,NC1=CC(=CC=C1)[N+]([O-])=O,0,TRUE
132,CC1=CC(=CC(C)=C1)[N+]([O-])=O,0,TRUE
133,NCCN1CCOCC1,0,TRUE
134,BrC1=C(C=CC=C1)C1=CC=CC=C1,0,TRUE
136,CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,TRUE
137,C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C1CO1,0,TRUE
138,NC1=NC(=CS1)C1=CC=C(C=C1)[N+]([O-])=O,1,TRUE
142,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,1,TRUE
143,[K+].C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)CCC([O-])=O,0,TRUE
144,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O,0,TRUE
146,S=C=NCCC1=CC=CC=C1,1,TRUE
147,C=CC(=O)OCCOC(=O)C=C,0,TRUE
148,CCCCCCCCC1CCC(=O)O1,0,FALSE
149,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,0,TRUE
150,NC(=O)NC1=CC=C(Cl)C(Cl)=C1,0,TRUE
151,CCCCCCOC(=O)C(C)C,0,FALSE
152,[Na+].C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,0,FALSE
153,OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,0,TRUE
154,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,0,TRUE
155,CCCCOCC1CO1,0,FALSE
156,CCCC1=CC=C(C=C1)C(O)=O,0,TRUE
158,OC(=O)C1=C(O)C=CC=C1.OC1=C2N=CC=CC2=CC=C1,0,TRUE
159,CC(O)=O.CCCCCCCCCCCCNC(N)=N,0,FALSE
160,[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,0,FALSE
161,COC(=O)C1=CC=C(C(=O)OC)C(=C1)C(=O)OC,0,TRUE
162,OC1=C(CC2=C(O)C=CC=C2)C=CC=C1,0,TRUE
163,OCCCCOC(=O)C=C,0,FALSE
165,CCOP(Cl)(=S)OCC,0,TRUE
166,C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,0,TRUE
168,CCOC(=O)C(SP(=S)(OC)OC)C1=CC=CC=C1,0,TRUE
169,[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O,0,TRUE
171,COC1=CC=C(N)C(OC)=C1,0,TRUE
172,Cl.COC1=C(CN(C)C)C2=C(C=C1)C(=O)C(C)=C(O2)C1=CC=CC=C1,1,TRUE
173,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,0,TRUE
174,CO[Si](OC)(OC)C=C,0,TRUE
175,CCOP(=O)(CN(CCO)CCO)OCC,0,TRUE
176,NC1=CC(=C(NCCO)C=C1)[N+]([O-])=O,1,TRUE
177,CN1CCN=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2,0,TRUE
178,CC(C)C1=CC(C(C)C)=C(O)C=C1,0,TRUE
179,CC1(C)COP(OC2=CC=CC=C2)OC1,0,TRUE
180,CC1=CC=C(C=C1)N(CCO)CCO,1,TRUE
181,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O,0,TRUE
183,OC(=O)C(O)=O.CCN(CC)CCOC(=O)C(CC1CCCO1)CC1=C2C=CC=CC2=CC=C1,0,TRUE
184,CC(CC(O)=O)CC(C)(C)C,0,TRUE
185,Cl.O[C@H]1C=C[C@H]2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3)=C(O)C=C4,0,TRUE
186,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0,TRUE
188,OCCN1CCCC1=O,0,TRUE
189,N=C1NC(=N)C2=C1C=CC=C2,0,TRUE
190,[Cl-].C[S+](C)CCC(N)C(O)=O,0,TRUE
191,CCN(CC)CCOC(=O)C(C)(C1=CC=CC=C1)C1=CC=CC=C1,0,TRUE
192,[Na+].[Na+].CC1=CC(C)=C(C=C1C)\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S([O-])(=O)=O)S([O-])(=O)=O,0,TRUE
193,COC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(CC(C)C)S1,0,TRUE
194,C[C@@H]1CC[C@@H](\C=C(/C)C(O)=O)C2=C(C)CC[C@H]12,0,TRUE
195,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,0,TRUE
196,C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,0,TRUE
198,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C,0,TRUE
200,[K+].[O-][Cl](=O)=O,0,TRUE
201,CCCCN(CCCCO)N=O,0,FALSE
203,CC1=CC(=C(O)C(=C1)N1N=C2C=CC(Cl)=CC2=N1)C(C)(C)C,0,TRUE
204,CCCCCCC(CO)CCCC,0,FALSE
205,[Na+].C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C1=CC=CC(=C1)S([O-])(=O)=O,0,FALSE
206,Cl.NC(=N)N1C=CC=N1,0,TRUE
207,CC(=O)O[Si](OC(C)=O)(OC(C)=O)C=C,0,TRUE
208,CC(CO)OC1=CC=CC=C1,0,TRUE
209,CC(C)COC(=O)C1=CC=C(O)C=C1,0,TRUE
210,CN(C)N=NC1=C(NC=N1)C(N)=O,0,TRUE
211,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)CCC(O)=O)=C2C,0,TRUE
212,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,1,TRUE
213,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5=C(C=CC=C5)[C@]44C[C@@H](C2[C@H]4O)N3[C@@H]1O,0,TRUE
215,CC1=CC=CC(C)=C1NC1=NC=CC=C1C(O)=O,1,TRUE
216,CC1=CC=CC(NC2=NC=CC=C2C(O)=O)=C1C,1,TRUE
217,COC1CCC=CO1,0,TRUE
218,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C,0,FALSE
219,CC(C)C1CCC(O)CC1,0,TRUE
220,C[C@@H]1CCC=C2CC[C@H](C[C@@]12C)C(C)=C,0,TRUE
221,OC(CCl)COCC=C,0,TRUE
222,COC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,0,TRUE
224,ClC1=NN=C(Cl)C2=CC=CC=C12,1,FALSE
225,CC(CO)(CO)C(O)=O,0,TRUE
226,OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC(=CC=C1)C(F)(F)F,1,TRUE
227,CCCCCCCCCCCCCCCCCl,0,FALSE
228,CCC1=C(O)C(=O)C=CO1,0,TRUE
229,Cl.O=C1NCC2(CCN(CCC3=CC=CC=C3)CC2)O1,0,TRUE
230,C=CC(=O)N1CCOCC1,0,TRUE
231,CC(C)=CCOC(=O)C1=CC=CC=C1,0,TRUE
232,[Ca++].CC1=CC(=C(C=C1)N=NC1=C(O)C(=CC2=C1C=CC=C2)C([O-])=O)S([O-])(=O)=O,1,TRUE
233,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,0,TRUE
234,Cl.CC(N)COC1=C(C)C=CC=C1C,0,TRUE
235,Cl.CN(C)CCCCl,0,TRUE
236,OCCCNC1=CC=CC=C1,0,TRUE
237,Cl.NCC(=O)CCC(O)=O,0,TRUE
238,[Na+].NC1=CC(=CC2=C1C(O)=CC(=C2)S(O)(=O)=O)S([O-])(=O)=O,0,TRUE
239,Cl.NO,0,TRUE
240,CCOC(=O)C1=C(O)C2=C(C=C(OCC(C)C)C(OCC(C)C)=C2)N=C1,0,TRUE
241,NC1(CCCCC1)C#N,0,TRUE
242,CCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)COC(=O)CC,0,FALSE
243,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,1,FALSE
244,O.O.[Cd++].CC([O-])=O.CC([O-])=O,0,TRUE
245,CC1(C)[C@H]2CC[C@H](C2)C1=C,0,TRUE
246,CN(C)C(=O)C(Cl)C(C)=O,0,TRUE
247,CC(C)OC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,0,TRUE
248,O=C(OCC(COC(=O)C1=CC=CN=C1)(COC(=O)C1=CC=CN=C1)COC(=O)C1=CC=CN=C1)C1=CC=CN=C1,0,TRUE
249,Cl.CCCOC1=CC=C(C=C1N)C(=O)OCCN(CC)CC,1,TRUE
250,O=[Bi]OC(=O)O[Bi]=O,0,TRUE
252,[Na+].CCCCCCCCC1=CC=C(C=C1)S([O-])(=O)=O,0,TRUE
253,CCCCC(=O)N(C)C,0,FALSE
254,ON=CC1=CC=C(O1)[N+]([O-])=O,0,TRUE
255,[Na+].NC1=C(C=C(Br)C2=C1C(=O)C1=C(C=CC=C1)C2=O)S([O-])(=O)=O,1,TRUE
256,CCC(=O)C1=CC=C(Cl)C=C1,0,TRUE
257,O=C1NC(=O)[C@@H]2[C@@H]3C[C@@H](C=C3)[C@H]12,0,TRUE
259,NC1=C(O)C=C(C(Cl)=C1)[N+]([O-])=O,0,TRUE
261,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0,TRUE
262,CC(O)CCCCN1C(=O)N(C)C2=C(N(C)C=N2)C1=O,0,TRUE
263,COC(=O)N\N=C\C1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=C1,0,TRUE
264,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,1,TRUE
265,[Br-].CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,0,TRUE
266,O[C@H]1[C@@H]2OC(=O)[C@H]1OC(O)[C@H]2O,0,TRUE
267,O=[Se]=O,0,TRUE
268,Cl[Pd]Cl,0,TRUE
269,CC(NNC(=O)C1=CC=CC=C1)C1=CC=CC=C1,1,TRUE
270,[Na+].[O-][Cl](=O)=O,0,TRUE
271,[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S,0,TRUE
272,[O-][N+](=O)C1=CC=C(Cl)C=C1,0,TRUE
273,C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,0,TRUE
274,CN1CCN(CC1)C(=O)C1CCCCC1,0,TRUE
275,NC1=CC=C(C=C1)[N+]([O-])=O,0,TRUE
276,OC1=CC=C(C=C1)[N+]([O-])=O,0,TRUE
277,CC1=CC(=O)NO1,0,TRUE
278,COC1=CC=C(C=C1)C(C)=O,0,TRUE
279,CN(C)C1=CC=C(C=O)C=C1,0,TRUE
280,[O-][N+](=O)C1=CC=C(CBr)C=C1,0,TRUE
281,[O-][N+](=O)C1=CC=C(CCl)C=C1,0,TRUE
282,CNC1=CC=C(C=C1)[N+]([O-])=O,0,TRUE
283,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0,TRUE
284,CC(C)C1=CC=C(C=C1)C(C)C,0,TRUE
285,CC(=O)C1=CC=C(C=C1)[N+]([O-])=O,0,TRUE
286,ClC(=O)C1=CC=C(C=C1)C(Cl)=O,0,TRUE
287,OC(=O)C1=CC=C(C=C1)C(O)=O,0,TRUE
288,CN(C)C1=CC=C(C=C1)N(C)C,1,TRUE
290,[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0,TRUE
291,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC(C=CC2=CC=CC=C2Cl)=C1,1,TRUE
292,Cl[Nd](Cl)Cl,0,FALSE
294,Cl[Dy](Cl)Cl,0,TRUE
295,Cl[In](Cl)Cl,0,TRUE
296,ClP(Cl)(Cl)=O,0,TRUE
297,Cl[Sb](Cl)Cl,0,FALSE
298,ClP(Cl)(Cl)(Cl)Cl,0,TRUE
299,O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O,0,TRUE
300,CCCCCCCCCCCl,0,FALSE
301,OCCC1=CC=C(C=C1)[N+]([O-])=O,0,TRUE
302,CCCCCCCCCCCCCCC(O)=O,0,FALSE
303,Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,0,FALSE
304,CCOC1=CC=C(C=C1)[N+]([O-])=O,0,TRUE
305,[K+].CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=N[N-]1,0,TRUE
306,CCCCCC\C=C\CCCCCCCC(O)=O,0,FALSE
307,CCCCCCOC(=O)C(C)CC,0,FALSE
308,NN.OS(O)(=O)=O,1,TRUE
310,CCN(CC)CCO,0,TRUE
311,BrCC1=CC=CC=C1,0,TRUE
312,[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O,0,TRUE
313,C=CC1CCC=CC1,0,TRUE
314,[Na+].[Na+].[O-]S(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS([O-])(=O)=O)C=C1)C1=CC=CC=N1,0,TRUE
315,CCC1=CC=CC=C1,0,TRUE
316,C=CC1=CC=CC=C1,0,TRUE
317,CCCCCC(CO)CCC,0,FALSE
318,OB(O)O,0,TRUE
319,[Cl-].[Cl-].[Ca++],0,TRUE
321,ClCC1=CC=CC=C1,0,TRUE
322,NCC1=CC=CC=C1,0,TRUE
323,N#CC1=CC=CC=C1,0,TRUE
324,N#CC1=CC=NC=C1,0,TRUE
325,Cl.Cl.CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1,0,TRUE
326,O=CC1CCC=CC1,0,TRUE
327,OCC1=CC=CC=C1,0,TRUE
328,[Cl-].CC[N+](C)(CC)CC,0,TRUE
329,O=CC1=CC=CC=C1,0,TRUE
330,SCC1=CC=CC=C1,0,TRUE
331,N#CC1=CN=CC=C1,0,TRUE
332,OCC1=CC=CN=C1,0,TRUE
333,Cl[Hg]C1=CC=CC=C1,0,TRUE
335,CNC1=CC=CC=C1,0,TRUE
336,NNC1=CC=CC=C1,1,TRUE
337,ON=C1CCCCC1,0,TRUE
338,ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1,0,TRUE
339,ONC1=CC=CC=C1,1,TRUE
340,OC(=O)CCC(O)=O.C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1,0,TRUE
341,C=CC1=CC=CC=N1,0,TRUE
342,N#CC1=NC=CC=C1,0,TRUE
343,CCNC1=NC(N)=NC(Cl)=N1,0,TRUE
344,CCN1CCOCC1,0,TRUE
345,O=NN1CCCCC1,0,TRUE
349,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,0,TRUE
350,[OH-].C[N+](C)(C)CC1=CC=CC=C1,0,TRUE
352,CC(C)(O)CC1=CC=CC=C1,0,TRUE
353,[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=O,0,TRUE
354,OS(=O)(=O)NC1CCCCC1,0,TRUE
355,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,0,TRUE
356,CC(=O)C1=CC=C(C=C1)C(C)=O,0,TRUE
357,C1N2CN3CN1CN(C2)C3,0,TRUE
358,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,0,TRUE
359,CCOC(=O)CN1C=CC=C1C1=NC(=C(S1)C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,0,TRUE
360,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O,0,TRUE
361,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,0,TRUE
362,[Na+].[Na+].[O-][Se]([O-])=O,0,TRUE
363,[Tl+].[O-][N+]([O-])=O,0,TRUE
364,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,0,FALSE
365,[Cl-].[Cl-].[Cd++],0,TRUE
366,CC(OC1=CC(Cl)=CC=C1)C(O)=O,0,TRUE
367,CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1,0,TRUE
368,NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,0,TRUE
